Bug ID,Component,Severity,Priority,OS,Assignee
267011,General,normal, --,Windows XP,bugzilla
267019,General,normal, --,Windows XP,bugzilla
267025,General,normal, --,Windows XP,bugzilla
267056,General,normal, --,Windows XP,bugzilla
267069,General,major, --,Windows XP,bugzilla
267072,General,normal, --,Windows XP,bugzilla
267077,General,normal, --,Windows XP,bugzilla
267083,Shell Integration,normal, --,Linux,bugzilla
267087,Shell Integration,normal, --,Windows 2000,bugs
267102,General,normal, --,Windows 2000,bugzilla
267105,General,normal, --,Windows 2000,bugzilla
267118,General,normal, --,Windows XP,bugzilla
267134,General,critical, --,Windows XP,bugzilla
267152,Shell Integration,normal, --,Linux,bugs
267173,General,normal, --,Mac OS X,bugzilla
267184,General,normal, --,Windows XP,bugzilla
267187,General,normal, --,Windows XP,bugzilla
267191,General,normal, --,Windows 2000,bugzilla
267238,General,normal, --,Windows XP,bugzilla
267251,General,normal, --,Mac OS X,bugzilla
267253,General,normal, --,All,bugzilla
267270,General,normal, --,Windows XP,bugzilla
267317,General,normal, --,Windows XP,bugzilla
267393,General,minor, --,Mac OS X,bugzilla
267412,General,normal, --,Linux,bugzilla
267423,Preferences,major, --,Windows 2000,bugzilla
267431,General,major, --,Windows XP,bugzilla
267454,Location Bar,normal, --,Windows XP,bugs
267496,General,major, --,Linux,bugzilla
267508,General,normal, --,Windows XP,bugzilla
267526,Preferences,normal, --,Windows XP,bugzilla
267527,General,normal, --,Windows XP,bugzilla
267531,General,normal, --,Mac OS X,bugzilla
267534,General,normal, --,Windows XP,bugzilla
267553,Shell Integration,critical, --,Windows Server 2003,bugs
267554,General,normal, --,Linux,bugzilla
267615,General,normal, --,Windows XP,bugzilla
267638,General,normal, --,Windows XP,bugzilla
267704,General,normal, --,Windows XP,bugzilla
267711,General,normal, --,Windows XP,bugzilla
267729,General,normal, --,Windows XP,bugzilla
267731,File Handling,major, --,All,bugs
267739,General,major, --,Windows XP,bugzilla
267770,Bookmarks & History,normal, --,Windows XP,vladimir+bm
267787,General,major, --,Windows 2000,bugzilla
267793,General,major, --,Windows XP,bugzilla
267809,Bookmarks & History,normal, --,Windows 2000,vladimir+bm
267835,General,normal, --,Linux,bugzilla
267856,General,normal, --,Windows XP,bugs
267857,General,normal, --,Windows XP,bugzilla
