Bug ID,Component,Severity,Priority,OS,Assignee
263287,General,normal,P3,Windows Server 2003,bugzilla
263361,Shell Integration,normal,P3,Windows XP,bugs
263408,General,normal,P3,Windows XP,bugzilla
263415,General,normal,P3,Mac OS X,bugzilla
263467,General,normal,P3,Mac OS X,bugzilla
263483,General,critical,P3,Windows XP,bugzilla
263504,General,normal,P3,Windows XP,bugzilla
263558,General,normal,P3,Windows XP,bugzilla
263559,General,normal,P3,Mac OS X,bugzilla
263577,General,normal,P3,Windows 2000,bugzilla
263588,General,critical,P3,Windows XP,bugzilla
263593,General,normal,P3,Windows 98,bugzilla
263611,Preferences,minor,P3,Windows XP,bugzilla
263616,General,normal,P3,Windows XP,bugzilla
263624,General,normal,P3,Windows 98,bugzilla
263630,General,normal,P3,Windows XP,bugzilla
263660,General,normal,P3,Windows XP,bugzilla
263690,General,normal,P3,Mac OS X,bugzilla
263722,General,normal,P3,Windows 98,bugzilla
263727,General,normal,P3,Windows XP,bugzilla
263740,General,normal,P3,Windows XP,bugzilla
263763,Preferences,normal,P3,Windows XP,bugzilla
263791,General,normal,P3,Windows 2000,bugzilla
263793,General,critical,P3,Linux,bugzilla
263808,General,major,P3,Windows XP,bugzilla
263848,General,normal,P3,Mac OS X,bugzilla
263884,General,normal,P3,Windows XP,bugzilla
263885,General,normal,P3,Windows XP,bugzilla
263907,General,normal,P3,All,bugzilla
263950,General,normal,P3,Windows XP,bugzilla
263958,General,normal,P3,Windows XP,bugzilla
263975,General,critical,P3,OSF/1,bugzilla
264004,General,major,P3,Linux,bugzilla
264038,General,normal,P3,Windows XP,bugzilla
264045,General,normal,P3,Mac OS X,bugzilla
264048,General,normal,P3,Linux,bugzilla
264119,General,minor,P3,Windows XP,bugzilla
264137,General,normal,P3,Windows XP,bugzilla
264173,General,normal,P3,Linux,bugzilla
264183,General,normal,P3,Linux,bugzilla
264187,General,normal,P3,Windows 2000,bugzilla
264190,General,normal,P3,Windows 2000,bugzilla
264195,General,normal,P3,Windows XP,bugzilla
264237,General,normal,P3,Mac OS X,bugzilla
264255,General,normal,P3,Linux,bugzilla
264260,Shell Integration,critical,P3,Windows XP,doronr
264307,Location Bar,minor,P3,Windows XP,bugs
264338,General,major,P3,All,bugzilla
264350,General,minor,P3,All,bugzilla
264390,General,normal,P3,Windows 2000,bugzilla
264391,General,normal,P3,Linux,bugzilla
264401,General,normal,P3,Windows XP,bugzilla
264448,Shell Integration,minor,P3,Linux,bugs
264503,General,normal,P3,Linux,bugzilla
264504,General,major,P3,Windows 2000,bugzilla
264535,Tabbed Browser,normal,P3,All,bugs
264550,General,normal,P3,Windows XP,bugzilla
264551,General,normal,P3,Linux,bugzilla
264555,General,normal,P3,Windows XP,bugzilla
264575,General,normal,P3,Windows XP,bugzilla
264672,General,critical,P3,Linux,bugzilla
264673,Preferences,normal,P3,Linux,bugzilla
264674,General,critical,P3,FreeBSD,bugzilla
264685,General,critical,P3,Windows XP,bugzilla
264694,General,trivial,P3,All,bugzilla
264703,General,normal,P3,Windows 98,bugzilla
264874,General,critical,P3,Windows XP,bugzilla
264894,General,normal,P3,Windows XP,bugzilla
264902,General,major,P3,Windows XP,bugzilla
264909,General,critical,P3,Windows 98,bugzilla
264976,General,normal,P3,Windows XP,bugzilla
265026,General,critical,P3,Windows 2000,bugzilla
265038,General,normal,P3,Windows 2000,bugzilla
265136,General,major,P3,Linux,bugzilla
265155,General,normal,P3,Mac OS X,bugzilla
265180,General,critical,P3,Windows NT,bugzilla
265187,Bookmarks & History,normal,P3,Windows XP,vladimir+bm
265214,General,normal,P3,Windows XP,bugzilla
265217,General,normal,P3,Windows XP,bugzilla
265235,General,major,P3,Windows XP,bugzilla
265258,General,normal,P3,Windows XP,bugzilla
265273,General,critical,P3,Windows 2000,bugzilla
265299,General,normal,P3,Windows XP,bugzilla
265317,General,critical,P3,Windows XP,bugzilla
265323,General,major,P3,Windows ME,bugzilla
265344,Tabbed Browser,normal,P3,Windows XP,bugs
265346,General,normal,P3,Windows XP,bugzilla
265428,Bookmarks & History,normal,P3,Windows XP,vladimir+bm
265458,General,critical,P3,Windows XP,bugzilla
265482,Bookmarks & History,normal,P3,Windows XP,vladimir+bm
265483,General,critical,P3,Windows XP,bugzilla
265506,General,major,P3,Windows XP,bugzilla
